,,,HOME_WIN_RATIO,HOME_WIN_RATIO,HOME_WIN_RATIO,HOME_WIN_RATIO,AWAY_WIN_RATIO,AWAY_WIN_RATIO,AWAY_WIN_RATIO,AWAY_WIN_RATIO,HOME_SAMPLE,HOME_SAMPLE,HOME_SAMPLE,HOME_SAMPLE,AWAY_SAMPLE,AWAY_SAMPLE,AWAY_SAMPLE,AWAY_SAMPLE
F_LINE_ID,F_LINE,L_LINE,5,6,7,8,5,6,7,8,5,6,7,8,5,6,7,8
,,,,,,,,,,,,,,,,,,
2,(+1.5/+2),(+1.5/+2),0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0,0
4,(+1/+1.5),(+1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4,(+1/+1.5),(+1.5/+2),0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.25,0,0,0,0,2,2,2,1
4,(+1/+1.5),(+1/+1.5),1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,3,2,1,1
5,(+1),(+0.5/+1),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5,(+1),(+1),1.0,1.0,0.0,0.0,0.33,0.33,0.5,1.0,2,1,0,0,2,1,1,1
5,(+1),(+1/+1.5),0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0,0,0,0,2,2,2,2
6,(+0.5/+1),(+0.5/+1),0.67,0.5,0.67,1.0,0.56,0.54,0.43,0.44,4,2,2,1,22,14,6,4
6,(+0.5/+1),(+1),0.0,0.0,0.0,0.0,0.7,0.7,0.67,0.67,0,0,0,0,7,7,6,4
6,(+0.5/+1),(+1/+1.5),0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,1,1
6,(+0.5/+1),(0/+0.5),0.5,0.5,0.75,0.67,0.0,0.0,0.0,0.0,3,3,3,2,0,0,0,0
8,(0/+0.5),(+0.5/+1),0.0,0.0,0.0,0.0,0.48,0.43,0.36,0.0,0,0,0,0,11,6,4,0
8,(0/+0.5),(0),0.62,0.5,1.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0,0,0,0,0
8,(0/+0.5),(0/+0.5),0.58,0.67,0.8,1.0,0.41,0.39,0.39,0.25,15,10,4,1,19,13,7,2
8,(0/+0.5),(0/-0.5),1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
9,(0),(0),0.44,0.43,0.5,0.6,0.53,0.64,0.6,0.83,14,6,3,3,21,16,9,5
9,(0),(0/+0.5),0.0,0.0,0.0,0.0,0.56,0.58,0.55,0.62,0,0,0,0,19,15,11,10
9,(0),(0/-0.5),0.34,0.31,0.26,0.33,0.0,0.0,0.0,0.0,12,8,5,5,0,0,0,0
10,(0/-0.5),(-0.5/-1),0.55,0.5,0.53,0.48,0.0,0.0,0.0,0.0,28,20,17,11,0,0,0,0
10,(0/-0.5),(0),0.0,0.0,0.0,0.0,0.65,0.67,0.74,0.67,0,0,0,0,20,16,14,8
10,(0/-0.5),(0/+0.5),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
10,(0/-0.5),(0/-0.5),0.47,0.37,0.29,0.33,0.6,0.57,0.5,0.6,46,20,10,6,49,24,9,6
12,(-0.5/-1),(-0.5/-1),0.55,0.52,0.55,0.54,0.5,0.42,0.5,0.33,83,50,32,20,12,5,3,1
12,(-0.5/-1),(-1),0.66,0.62,0.65,0.6,0.0,0.0,0.0,0.0,19,15,11,9,0,0,0,0
12,(-0.5/-1),(-1/-1.5),0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
12,(-0.5/-1),(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
12,(-0.5/-1),(0/-0.5),0.0,0.0,0.0,0.0,0.44,0.2,0.12,0.14,0,0,0,0,7,2,1,1
13,(-1),(-0.5/-1),0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,0,0,0,0,3,3,3,1
13,(-1),(-1),0.33,0.38,0.5,0.5,0.33,0.0,0.0,0.0,4,3,2,1,1,0,0,0
13,(-1),(-1/-1.5),0.4,0.36,0.35,0.29,0.0,0.0,0.0,0.0,14,10,8,5,0,0,0,0
14,(-1/-1.5),(-0.5/-1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
14,(-1/-1.5),(-1),0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,2,1,1,1
14,(-1/-1.5),(-1.5/-2),0.4,0.4,0.67,0.67,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
14,(-1/-1.5),(-1/-1.5),0.58,0.67,0.67,0.6,1.0,1.0,1.0,1.0,7,6,6,3,2,2,2,1
14,(-1/-1.5),(-2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
16,(-1.5/-2),(-1.5/-2),0.58,0.57,0.5,1.0,0.5,0.0,0.0,0.0,7,4,2,1,1,0,0,0
16,(-1.5/-2),(-1/-1.5),0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,1,1
16,(-1.5/-2),(-2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
18,(-2/-2.5),(-2),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
18,(-2/-2.5),(-2/-2.5),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
